subject,rating_col,rating,song_id,genre_allmusic,trackname,danceability,valence,energy,acousticness,instrumentalness,speechiness,liveness,tempo,loudness,density,like_label,danceability_like,valence_like,energy_like,acousticness_like,instrumentalness_like,speechiness_like,liveness_like,tempo_like,loudness_like,density_like,preferred_genre
S159,s25r,1.0,25,country,Losing Sleep,0.584,0.634,0.621,0.0715,1.68e-06,0.0443,0.389,92.003,-5.703,11.88066173,dislike,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S159,s31r,5.0,31,electronic,Falaise,0.356,0.0397,0.401,0.434,0.789,0.0467,0.176,142.945,-14.475,20.14415792,like,0.520125,0.4497375,0.462975,0.42053524999999997,0.12602436250000001,0.05455,0.23975,111.542875,-12.444375,207.589514615125,pop-rock
S161,s30r,3.0,30,country,I'm Alright,0.676,0.591,0.733,0.191,0.0,0.0294,0.192,98.234,-7.745,10.10065238,neutral,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s58r,5.0,58,rnb,Be My Baby,0.512,0.803,0.771,0.168,0.0,0.0402,0.0895,129.639,-7.006,9.392343334,like,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s33r,2.0,33,electronic,Arguru 2k19,0.702,0.284,0.603,0.0253,0.802,0.0519,0.118,128.0,-7.532,16.6168163,dislike,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s8r,5.0,8,pop-rock,Message In A Bottle,0.577,0.869,0.808,0.0338,1.33e-05,0.039,0.221,151.008,-7.04,21.44043555,like,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s36r,2.0,36,electronic,Jóga,0.226,0.228,0.699,0.403,5.65e-05,0.065,0.0797,145.852,-6.327,0.054892393,dislike,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s15r,4.0,15,classical,"Water Music Suite No. 1 In F, HWV 348: 2. Adagio e staccato",0.201,0.0842,0.036,0.95,0.891,0.0445,0.116,106.02,-24.204,135.7743758,like,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s7r,1.0,7,pop-rock,I'm a Slave 4 U,0.847,0.963,0.843,0.415,0.000134,0.106,0.107,110.027,-3.579,3.761015186,dislike,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s60r,3.0,60,rnb,Between the Sheets,0.719,0.575,0.377,0.661,0.0,0.0974,0.0902,83.919,-12.585,4.909530227,neutral,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s3r,3.0,3,pop-rock,Centerfold,0.653,0.888,0.677,0.249,0.0,0.0396,0.403,114.37,-12.244,19.30405677,neutral,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s48r,3.0,48,rap,At My Worst (feat. Kehlani),0.731,0.35,0.484,0.73,3.01e-06,0.0354,0.326,92.043,-5.579,0.339487244,neutral,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s47r,3.0,47,rap,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",0.545,0.277,0.781,0.0139,0.0,0.185,0.161,150.097,-3.616,17.26857654,neutral,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s29r,3.0,29,country,Three Wooden Crosses,0.523,0.391,0.501,0.459,0.0,0.0366,0.0818,158.179,-9.276,7.432217886,neutral,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
S161,s38r,3.0,38,electronic,IZ-US,0.581,0.315,0.459,0.0398,0.881,0.0314,0.151,119.042,-14.519,4.226005274,neutral,0.38075,0.455925,0.4525,0.5279499999999999,0.45125332500000004,0.04245,0.12645,111.96950000000001,-13.863,80.607172171,classical
